0;1;2;3;4
0.0;1.925;3.442;5.212;4.617
1.53;0.0;4.77;3.604;5.945
2.992;4.437;0.0;7.724;1.461
4.814;3.601;8.055;0.0;8.605
4.167;5.612;1.461;8.899;0.0
